City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
424,san patricio,28.017,-97.5169,20.91,87,100,5.41,US,1701314394
425,codrington,-38.2667,141.9667,18.09,61,96,9.18,AU,1701314394
426,caconda,-13.7333,15.0667,17.17,92,100,1.28,AO,1701314395
427,hami,42.8,93.45,2.41,22,0,0.26,CN,1701314395
428,wamba,8.9333,8.6,23.48,34,13,1.61,NG,1701314395
429,nchelenge,-9.3451,28.734,20.99,89,100,0.82,ZM,1701314395
430,sisimiut,66.9395,-53.6735,0.72,72,99,4.17,GL,1701314395
431,renqiu,38.6989,116.0936,-0.34,23,0,0.91,CN,1701314395
432,ambon,-3.6954,128.1814,32.08,70,40,4.12,ID,1701314395
433,as suwayq,23.8494,57.4386,23.86,63,0,0.49,OM,1701314395
434,tsiombe,-25.3,45.4833,24.41,82,45,2.67,MG,1701314395
435,ouarzazat,30.9189,-6.8934,8.16,29,0,1.54,MA,1701314395
436,lagoa vermelha,-28.2086,-51.5258,17.67,96,0,0.35,BR,1701314331
437,basco,20.4487,121.9702,25.79,85,39,9.37,PH,1701313802
438,yichun,47.7,128.9,-13.9,80,100,4.74,CN,1701314396
439,taseyevo,57.2169,94.8978,-12.59,77,100,1.34,RU,1701314396
440,ocumare del tuy,10.1165,-66.7761,25.34,98,16,1.43,VE,1701314396
441,nishinoomote,30.7333,131.0,15.62,74,56,11.15,JP,1701313807
442,balabac,7.9868,117.0645,28.89,81,96,7.35,PH,1701314396
443,banda aceh,5.5577,95.3222,26.85,81,100,2.9,ID,1701314396
444,ironwood,46.4547,-90.171,1.45,64,0,5.66,US,1701314396
445,wakkanai,45.4094,141.6739,-4.01,77,75,7.2,JP,1701314396
446,semirom,31.4167,51.5667,2.29,38,0,0.46,IR,1701314397
447,alachua,29.7086,-82.3332,6.14,73,0,0.0,US,1701314397
448,cabedelo,-6.9811,-34.8339,25.37,73,63,6.09,BR,1701314397
449,la peca,-5.6111,-78.435,20.82,84,48,1.75,PE,1701314349
450,aleksandrovskoye,44.7142,43.0008,3.99,82,99,2.27,RU,1701314397
451,hecun,36.5333,114.1111,3.67,18,21,1.17,CN,1701314397
452,spanish wells,26.323,-81.7957,16.99,61,0,2.06,US,1701314397
453,sefaatli,39.5043,34.7563,8.36,69,100,2.5,TR,1701314397
454,vangaindrano,-23.35,47.6,24.06,88,40,1.08,MG,1701314397
455,padampur,29.6833,73.6167,19.62,37,74,1.66,IN,1701314397
456,nasir,15.5894,32.5634,25.97,34,70,5.28,SD,1701314398
457,grand falls-windsor,48.9332,-55.6649,-3.05,88,44,0.45,CA,1701314398
458,labasa,-16.4167,179.3833,30.34,68,97,4.76,FJ,1701314398
459,kincardine,56.0667,-3.7167,2.15,73,21,1.68,GB,1701314398
460,songkhla,6.8333,100.6667,26.03,91,100,1.84,TH,1701314398
461,port douglas,-16.4833,145.4667,29.26,65,20,3.09,AU,1701314398
462,san andres,12.5847,-81.7006,29.01,84,20,6.17,CO,1701314398
463,nantucket,41.2835,-70.0995,4.06,63,100,3.6,US,1701314398
464,hobyo,5.3505,48.5268,26.27,76,94,7.97,SO,1701313815
465,caetes,-8.7731,-36.6225,16.83,95,18,2.46,BR,1701314398
466,bonthe,7.5264,-12.505,25.53,84,93,0.21,SL,1701314399
467,antofagasta,-23.65,-70.4,17.6,81,44,1.66,CL,1701314151
468,jaguaruna,-28.615,-49.0256,20.87,94,100,0.79,BR,1701314399
469,timimoun,29.2639,0.231,14.1,21,0,2.08,DZ,1701314399
470,port macquarie,-31.4333,152.9167,31.61,44,6,1.71,AU,1701314178
471,shenzhen,22.5455,114.0683,26.79,64,47,2.68,CN,1701314352
472,dolores,-36.3132,-57.6792,16.22,86,1,2.13,AR,1701314399
473,armacao de buzios,-22.7469,-41.8817,26.03,90,100,6.14,BR,1701314313
474,barra de santo antonio,-9.4047,-35.5072,23.6,76,8,2.37,BR,1701314338
475,lerwick,60.1545,-1.1494,5.0,73,100,8.32,GB,1701314399
476,kani keli,-12.9536,45.1033,27.59,75,41,4.53,YT,1701314399
477,lincheng,19.9078,109.6858,25.81,82,100,6.95,CN,1701314400
478,miri,4.4148,114.0089,31.08,79,40,2.06,MY,1701314400
479,rawson,-43.3002,-65.1023,19.84,37,4,6.81,AR,1701314400
480,kargopol',61.5071,38.9456,-11.9,95,97,2.85,RU,1701314400
481,ascension,30.2169,-90.9001,11.14,71,0,0.0,US,1701314401
482,aracuai,-16.8497,-42.0703,24.06,65,57,1.78,BR,1701314401
483,gaspe,48.8334,-64.4819,-5.88,53,100,4.12,CA,1701314401
484,goure,13.9835,10.2704,22.84,17,9,3.95,NE,1701314401
485,bodaybo,57.8506,114.1933,-23.45,98,92,0.28,RU,1701314401
486,svetogorsk,61.1121,28.8632,-4.23,90,100,3.58,RU,1701314401
487,luis correia,-2.8792,-41.6669,26.7,78,2,5.19,BR,1701314402
488,wagar,16.1525,36.2032,22.63,71,24,3.49,SD,1701314402
489,singkil,-7.9855,111.4161,31.74,60,39,1.01,ID,1701314403
490,tukrah,32.5341,20.5791,17.84,72,80,2.38,LY,1701314404
491,weleri,-6.9713,110.0666,32.94,65,71,2.1,ID,1701314404
492,nosy varika,-20.5833,48.5333,25.3,88,2,3.82,MG,1701314405
493,campo gallo,-26.5833,-62.85,19.9,91,100,5.93,AR,1701314405
494,bandarbeyla,9.4942,50.8122,25.98,71,100,8.92,SO,1701314405
495,axim,4.8699,-2.2405,26.03,86,97,2.45,GH,1701314405
496,koesan,36.8108,127.7947,-1.45,41,2,4.65,KR,1701314406
497,port lincoln,-34.7333,135.8667,18.34,73,98,5.78,AU,1701314406
498,beledweyne,4.7358,45.2036,24.75,68,53,6.31,SO,1701314406
499,kalmunai,7.4167,81.8167,26.12,87,97,3.59,LK,1701314407
500,siloam springs,36.1881,-94.5405,10.55,60,0,4.63,US,1701314407
501,zahedan,29.4963,60.8629,6.95,87,0,2.06,IR,1701314407
502,hays,30.0502,-98.0336,15.71,78,100,1.34,US,1701314407
503,praia da vitoria,38.7333,-27.0667,15.14,67,75,15.58,PT,1701314408
504,ghat,24.9647,10.1728,15.91,20,0,1.31,LY,1701314408
505,capanema,-1.1958,-47.1808,22.61,97,11,1.13,BR,1701314408
506,plymouth,41.8334,-70.8328,2.03,75,0,0.0,US,1701314409
507,cannonvale,-20.2833,148.7,28.66,67,12,8.16,AU,1701314409
508,brisas de zicatela,15.8369,-97.0419,25.29,65,75,3.09,MX,1701314409
509,dobrinka,52.1653,40.4731,0.46,88,100,5.35,RU,1701314409
510,arish,31.1316,33.7984,18.0,63,97,0.92,EG,1701314411
511,charters towers,-20.1,146.2667,37.07,26,26,3.2,AU,1701314411
512,el alto,-4.2714,-81.2147,19.6,80,12,4.97,PE,1701314411
513,magadan,59.5667,150.8,-19.15,80,56,1.74,RU,1701314411
514,pisco,-13.7,-76.2167,19.45,82,0,4.63,PE,1701314411
515,la gi,10.6667,107.7833,29.4,69,79,6.99,VN,1701314412
516,paripiranga,-10.6875,-37.8617,18.7,89,0,2.24,BR,1701314338
517,alice springs,-23.7,133.8833,30.75,45,82,10.29,AU,1701314412
518,arraial do cabo,-22.9661,-42.0278,23.82,91,100,6.43,BR,1701314412
519,mozarlandia,-14.7447,-50.5706,26.19,37,31,1.37,BR,1701314412
520,port-gentil,-0.7193,8.7815,24.99,86,100,3.67,GA,1701314413
521,lazaro cardenas,17.9583,-102.2,25.83,84,75,1.41,MX,1701314413
522,kabare,-2.4683,28.8242,16.7,99,100,0.86,CD,1701314413
523,vygonichi,53.0985,34.0673,-3.51,94,100,6.95,RU,1701314413
524,brezina,33.0989,1.2608,10.32,24,51,1.79,DZ,1701314413
525,klyuchi,52.2667,79.1667,1.92,66,100,4.86,RU,1701314414
526,summerside,46.3959,-63.7876,-4.93,58,8,4.63,CA,1701314414
527,mogocha,53.7333,119.7667,-12.84,67,100,1.08,RU,1701314414
528,dutsen wai,10.8501,8.199,20.22,27,5,2.7,NG,1701314414
529,mosjoen,65.836,13.1908,-4.71,68,20,3.09,NO,1701314415
530,sola,-13.8833,167.55,27.11,83,99,6.72,VU,1701314415
531,sao vicente,-23.9631,-46.3919,26.26,26,6,2.05,BR,1701314415
532,ciutadella,40.0011,3.8414,17.45,80,87,8.09,ES,1701314415
533,kencong,-8.2833,113.3667,29.44,69,61,2.73,ID,1701314416
534,gulma,12.6423,4.3555,25.32,27,44,3.04,NG,1701314416
535,troitskaya,43.3056,44.9789,3.98,61,93,2.24,RU,1701314416
536,opuwo,-18.0607,13.84,21.22,65,95,1.9,NA,1701314416
537,licheng,23.2955,113.8284,26.12,55,79,2.79,CN,1701314417
538,ola,59.5833,151.2833,-18.81,77,27,2.3,RU,1701314417
539,karbala,32.616,44.0249,12.93,52,0,4.11,IQ,1701314417
540,seaside,36.6111,-121.8516,14.52,86,20,1.54,US,1701314131
541,karratha,-20.7377,116.8463,31.59,30,0,3.59,AU,1701314417
542,mount pearl,47.5166,-52.7813,-1.69,89,20,9.26,CA,1701314418
543,qamdo,31.1667,97.2333,-1.44,38,89,1.92,CN,1701314418
544,dryden,49.7833,-92.7503,-0.84,86,100,3.6,CA,1701314418
545,smithers,54.7804,-127.1743,-0.82,93,75,1.03,CA,1701314419
546,takum,7.2667,9.9833,24.31,72,42,0.18,NG,1701314419
547,rio grande,-32.035,-52.0986,21.08,92,100,5.65,BR,1701314419
548,happy valley-goose bay,53.3168,-60.3315,-10.83,73,75,4.63,CA,1701314372
549,andergrove,-21.0833,149.1833,37.03,72,3,7.51,AU,1701314420
550,sumbawa besar,-8.5,117.4333,32.93,56,54,2.57,ID,1701314420
551,guaimaca,14.5333,-86.8167,18.32,96,82,0.94,HN,1701314422
552,avola,36.9113,15.1395,14.45,73,0,2.52,IT,1701314423
553,vrangel',42.7297,133.0839,-9.0,53,62,7.03,RU,1701314423
554,severnoye,56.3491,78.3619,-5.01,80,100,3.13,RU,1701314425
555,ntungamo,-0.8833,29.65,18.04,97,100,1.6,UG,1701314426
556,kerrville,30.0474,-99.1403,13.3,96,100,3.09,US,1701314401
557,sao gabriel da cachoeira,-0.1303,-67.0892,22.97,99,100,0.73,BR,1701314426
558,kapuskasing,49.4169,-82.4331,-0.95,80,100,6.69,CA,1701314426
